SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
292,30211,Town Of Amherst,City,NY,0.919881306,0.926097425,0.947867299,0.951224152,0.950950951,0.958399157,0.932184997,0.956382553,0.938750385,0.922023272,0.927279723,0.932026855,0.931765677,0.913018784,0.916494134,0.934418804,0.938483548,0.952562393,0.945454545,0.944969427,0.941823637,0.927543381,0.936824103,0.924113938,0.907692308,0.928293496,0.896358543,0.937053571,0.942601369,0.948051948,0.962799212,0.949311693,0.96236303,0.937215651,0.950395998,0.936737901,0.925578487,0.933644548,0.944466035,0.942368542,0.964247446,0.967784011,0.960688532,0.967335632,0.95505618,0.949820789,0.950594121,0.947616245,0.93385214,0.941176471,0.950950951,0.947181672,0.950950951,0.971428571,0.977717144,0.976912528,0.970285021,0.959132611,0.946766702,0.94996426,0.940423193,0.934789747,0.937535425,0.96081369,0.945083014,0.967741935,0.969526681,0.972762646,0.976198689,0.961784042,0.944340213,0.952901949,0.9371866,0.941538462,0.949336056,0.92972973,0.974710221,0.966183575,0.98928277,0.981845128,0.977675135,0.978632479,0.957149687,0.953461334,0.949725811,0.95,0.969976905,0.967127203,0.989051095,1,1,0.997352162,0.979068157,0.991359709,0.968054211,0.966570284,0.962154627,0.9543379,0.979033646,0.97665555,0.985074627,1.000277855,1.00000303,1,0.986995665,0.978723404,0.972218363,0.955524633,0.950237619,0.933288859,0.949316667,0.967530338,0.993031359,1.000477501,1,1,0.987269421,0.979563359,0.974955277
293,23534,Athens,City,GA,,,,,,,,,,,,,,,0.876986463,0.866666667,0.908091142,0.856685348,0.826892205,0.876648565,0.867852095,0.836120401,0.900500278,0.867148416,0.812385237,0.813953488,0.881293333,0.908153647,0.859052039,0.882196162,0.879773608,0.877985797,0.856547443,0.855044946,0.907271514,0.889692616,0.922135706,0.923112568,0.925893854,0.928057554,0.933755866,0.934704457,0.930949861,0.945736434,0.879272727,0.889284126,0.931182437,0.892127012,0.922588448,0.913528781,0.931218941,0.93478972,0.933629724,0.934911243,0.940051323,0.916981132,0.923363491,0.939864327,0.927795879,0.908814103,0.909660107,0.917125255,0.943987769,0.950297061,0.953571946,0.939044747,0.941787345,0.950462969,0.933333333,0.912156826,0.931972789,0.938192128,0.934518241,0.957249071,0.942380952,0.952092177,0.966666667,0.956985662,0.95706619,0.955414013,0.952948183,0.969218694,0.95829938,0.952817142,0.955290512,0.956836659,0.966638152,0.987569824,0.977986336,0.97551594,0.975988701,0.973499189,0.961923848,0.967741935,0.964285714,0.969375,0.971100404,0.970673352,0.969899666,0.979417989,0.984186047,0.984760989,0.980392157,0.97939423,0.975684826,0.967741935,0.974371796,0.961523663,0.962703038,0.968312216,0.984437528,0.992851469,0.987573578,0.989214319,0.982261682,0.971953703,0.975,0.976076555,0.971603506
294,4679,Falls Church,City,VA,0.956271072,0.952380952,0.953929346,0.974699599,0.977777778,0.971204705,0.970970971,0.954322222,0.955407377,0.963636364,0.964286403,0.957592339,0.943867213,0.953804908,0.963411424,0.977738095,0.95996357,0.970961482,0.973813642,0.953667263,0.960137162,0.946236559,0.962278676,0.96,0.962062663,0.943127492,0.969937446,0.975739503,0.979252569,0.983161939,0.979042524,0.969990906,0.975935829,0.97357697,0.974428738,0.978187267,0.969712404,0.979586245,0.980957877,0.990299906,1,1,0.997962157,0.979971388,0.986948969,0.987983979,0.975796178,0.969606604,0.971185598,0.968085106,1,0.994176142,0.991803279,1,0.984880069,0.981678322,0.967054264,0.969064952,0.969463869,0.947424219,0.954545455,0.963937622,0.979718678,0.983606557,0.987341772,0.987790652,0.981409954,0.965051133,0.976520811,0.963085172,0.973410268,0.966666667,0.958753102,0.962554847,0.978250591,0.991446529,0.987878788,0.988137659,0.982478098,0.979653904,0.965845029,0.96875,0.96,0.963636364,0.957617375,0.982022472,0.988037162,0.995260664,0.995780591,0.986648865,0.990582602,0.980952381,0.978118989,0.974910394,0.973549812,0.964739201,0.97951539,0.973913043,0.990351767,1,1,1,0.986829268,0.984674979,0.987394958,0.984495192,0.972766244,0.974313552,0.970416595,1,1,1,1,1,1,0.992574633,0.985482512,1,1
295,33136,Norman,City,OK,0.95730487,0.969429271,0.951048951,0.956149616,0.953851473,0.962672765,0.939734423,0.957188259,0.955607274,0.953367343,0.941025641,0.945631322,0.933333333,0.941176471,0.939830352,0.940246944,0.951724138,0.945107399,0.946428571,0.954253038,0.955124318,0.932307692,0.934721621,0.925925926,0.938830784,0.959527058,0.941176471,0.956710826,0.959785472,0.958333333,0.950594121,0.954935622,0.962091625,0.957239369,0.96801936,0.947467167,0.950694562,0.957119741,0.958220826,0.963748083,0.964209838,0.971601382,0.974530513,0.968366688,0.966292135,0.953934647,0.941176471,0.958126331,0.934567004,0.951111111,0.956521739,0.966962862,0.969069743,0.967477525,0.965517241,0.966666667,0.969529086,0.962962963,0.964712737,0.971983991,0.95505618,0.967511806,0.969441517,0.98038254,0.967213115,0.976510794,0.979020979,0.975022366,0.966392039,0.962586133,0.95805222,0.95979798,0.953656007,0.965600473,0.966981053,0.963957955,0.972868217,0.975695366,0.968888889,0.966371706,0.973684211,0.957142857,0.955089726,0.950704225,0.948717949,0.956521739,0.965517241,0.966649355,0.966454273,0.978648883,0.96486676,0.956790123,0.967311541,0.962099125,0.960624428,0.952717398,0.96031746,0.964700997,0.958762887,0.967375073,0.969230769,0.966700817,0.974272973,0.963571429,0.96191091,0.960384154,0.94951736,0.950352113,0.95754234,0.963636364,0.966666667,0.968644869,0.977777778,0.982142857,0.975609756,0.97549657,0.977923977,0.971428571,0.963190184
296,14667,Wilmington,City,DE,0.90691605,0.900161998,0.923867741,0.894263827,0.934782609,0.919692308,0.923076923,0.88982684,0.917835671,0.90950432,0.886033771,0.9246561,0.864078553,0.875456052,0.836044871,0.895485124,0.90816103,0.931174089,0.897819559,0.894736842,0.82787168,0.892570952,0.867549546,0.883230627,0.885840398,0.902803738,0.869429263,0.879268713,0.940801457,0.943647883,0.91967404,0.911504731,0.89364612,0.913793103,0.915182073,0.899964051,0.886075949,0.911806406,0.876096491,0.914830269,0.924518029,0.943920335,0.94821811,0.929292929,0.925,0.913133559,0.900901804,0.890697674,0.885296382,0.928694304,0.865525672,0.923694779,0.945454545,0.939621293,0.926417526,0.923647192,0.946510343,0.931854054,0.888774724,0.90712981,0.9375,0.927441353,0.901043777,0.92664335,0.941089292,0.927272727,0.948767827,0.940700167,0.937500635,0.934695745,0.913644369,0.894328077,0.901126408,0.908348643,0.932997565,0.942857143,0.942622951,0.951123925,0.950365525,0.948991696,0.913440626,0.918727915,0.942575713,0.932089265,0.909803922,0.873866801,0.907743609,0.930875062,0.95921032,0.963395465,0.953251418,0.946996466,0.940828402,0.950432015,0.941711042,0.950316772,0.905808924,0.912032951,0.944758993,0.95863159,0.959155576,0.967299464,0.971384607,0.95790478,0.96,0.955552133,0.94037615,0.951351351,0.929235168,0.921084883,0.952106174,0.942608696,0.950306122,0.963319748,0.966988996,0.959496993,0.963464052,0.962278676,0.958315965
297,33024,Nampa,City,ID,0.903225806,0.87218989,0.912777052,0.891112717,0.911235955,0.911012236,0.921093347,0.911764706,0.892307692,0.888355342,0.892257214,0.88365243,0.909992237,0.918452722,0.902335558,0.918918919,0.915833333,0.944797763,0.95644999,0.936507937,0.945,0.959008713,0.967682216,0.954063604,0.957231444,0.966420665,1,0.984786528,0.973643411,1,1,0.996801706,0.977157102,0.995997451,0.982118384,0.971412236,0.981306195,0.973427812,0.987561723,1,1,1,1,0.984615385,0.982844889,0.968366688,0.972958356,0.951250245,0.957555178,0.963462472,0.96744186,0.968910306,0.979983961,0.986206897,0.97826087,0.967892043,0.96159191,0.95999904,0.953029272,0.959522095,0.959032618,0.965517241,0.975438596,0.983128465,0.991607374,0.992435591,0.98998999,0.982124787,0.98829014,0.97390466,0.976276407,0.973684211,0.980140942,0.982931136,0.997368911,1,1,1,0.996872557,0.997492467,0.991552496,0.98340654,0.98255814,0.9851661,0.988043729,0.990265008,1,1,1,1,1,1,0.990098029,0.999454884,0.987878788,0.9803002,0.981723238,0.989141988,1,1,1.000588582,1,1.000250063,1,1,1,1,0.984735484,0.991266376,1,1,1,1,1,1,1,1,0.998164787,0.987367902
298,16992,Berkeley,City,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.264536644,1.212284483,1.172545281,1.222260311,1.213366211,1.146953405,1.108786611
299,34781,Westminster,City,CO,0.955678269,0.933137255,0.959862742,0.960418066,0.96693526,0.953715644,0.965634194,0.943365459,0.943387003,0.935612415,0.917628945,0.920382922,0.942809224,0.936363636,0.935925126,0.9525625,0.940662726,0.948122799,0.94920472,0.944009352,0.948930297,0.939983557,0.949926362,0.95189057,0.947368421,0.953832753,0.95638587,0.967311541,0.978405843,0.979482431,0.980067155,0.975275061,0.976600396,0.971527511,0.972895642,0.970251716,0.975,0.972954545,0.979899497,0.9875,0.992493745,1,0.989960539,0.993023256,0.990415335,0.980769231,0.977223761,0.977886444,0.976744186,0.975066743,0.992296296,1,1,1,1,1,1,0.990180457,0.982608696,1,1,1,1.006903496,1.010416667,1.018220793,1.022506331,1.021905904,1.001708383,1.001982178,1,0.994562106,0.988330555,1,1,1.008201048,1.02010101,1.015035885,1.016175898,1.011335852,1.001312315,1,1,0.988538682,0.99849975,0.993650794,1,1.011111111,1.006944444,1.000181851,1.002898551,1,1,0.992487479,0.992857143,0.993465608,0.994269341,0.997004413,1.000037038,1.001625449,1.013157895,1.006156962,1.010638298,1,1,0.992858561,0.986252213,0.979710145,0.975609756,0.978696613,0.989401041,0.991226574,1,1,1,1,0.991209457,0.988580048,0.986842105,0.982222222
300,44655,Clovis,City,CA,0.982318271,0.955882353,0.938215103,0.937062937,0.900932401,0.970379515,0.954551546,0.931863727,0.946318012,0.92176283,0.888321816,0.910740598,0.900360144,0.9136862,0.947888589,0.926012099,0.927527427,0.918367347,0.912077575,0.952261307,0.955555556,0.928571429,0.962963144,0.951807229,0.972515856,0.947788352,0.971473473,0.960714286,0.956024082,0.964740715,0.971983991,0.978342418,0.971491228,0.988475858,0.98490566,0.99340492,0.98835658,0.981250232,0.974117016,0.978766823,0.991466253,0.992646717,1,0.976744186,0.980392157,1,0.972431078,0.969417196,0.971983991,0.976271186,0.979955457,0.966542751,0.986111111,0.977192982,0.963382542,0.974025974,0.96549964,0.958333333,0.974139611,0.960652717,0.951709669,0.959300492,0.962627407,0.974626866,0.973345154,0.969855832,0.977615628,0.961950746,0.977358491,0.957377049,0.976190476,0.955305868,0.948765304,0.965985864,0.969699908,0.980744993,0.992277992,0.986798257,0.985177803,0.980701754,0.981845128,0.997005913,0.970826504,0.983935743,0.978417266,0.974196946,0.983333216,0.989658585,1,0.995583039,0.995284196,0.987432675,0.986923077,0.992436625,0.98349188,0.983606557,0.969868211,0.985576923,0.98817178,1,0.991657977,0.993311037,0.98679824,0.986475736,0.988330555,0.985147014,0.978155164,0.970428024,0.970460357,0.985147014,0.976585481,0.984682713,0.987055016,0.985275913,0.984188448,0.986763169,0.983857939,0.973684211,0.974147411
300,26791,Rochester,City,MN,,,,,,0.998700455,0.974519432,0.952141706,0.937754825,0.934097421,0.906081601,0.898067774,0.923787529,0.929286608,0.935458183,0.935286914,0.94448,0.956265841,0.947934335,0.935487475,0.928681375,0.930016348,0.938454917,0.933929156,0.914673947,0.921217174,0.943841435,0.958963524,0.962789243,0.959282264,0.963636364,0.956521739,0.948127198,0.951866152,0.955166667,0.948825178,0.948366702,0.954545455,0.945399301,0.958932708,0.971983991,0.979971388,0.965574627,0.966591064,0.962343096,0.955698464,0.967520412,0.961038961,0.958056409,0.94271211,0.971159506,0.975993854,0.972027972,0.979986197,0.976153084,0.977761305,0.972903951,0.960640427,0.95306553,0.965712918,0.942127273,0.957727941,0.97340003,0.989690691,0.992907801,0.995353246,0.991201206,0.996346742,0.984163236,0.986432773,0.985373364,0.984188448,0.979089374,0.968717949,0.997825141,1,1,1,1,1,1,0.997386788,0.99418374,0.987692308,0.992689496,0.993630697,1,1,1,1,1,1,1,0.997570564,0.982073266,0.977777778,0.981394259,0.990825688,1,1,1,1,1,1,0.994240679,0.986040019,0.974333041,0.969036581,0.974842767,0.980612641,1,1,1,1,1,1,0.999997221,0.984172662,0.98009802
