title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,,Blacksburg,VA,24060,"$729,900","4 bds, 4.0 ba ,5046 sqft",CENTURY 21 Valley Real Estate,https://www.zillow.com/homedetails/1101-Highland-Cir-Blacksburg-VA-24060/118892641_zpid/
House for sale,,Blacksburg,VA,24060,"$628,800","5 bds, 4.0 ba ,4920 sqft",RE/MAX 8 - Blacksburg,https://www.zillow.com/homedetails/3545-Deer-Run-Rd-Blacksburg-VA-24060/79172674_zpid/
House for sale,,Blacksburg,VA,24060,"$675,000","4 bds, 6.0 ba ,3996 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/1776-Mount-Tabor-Rd-Blacksburg-VA-24060/79171945_zpid/
House for sale,,Blacksburg,VA,24060,"$996,000","4 bds, 5.0 ba ,4890 sqft",Long & Foster-Blacksburg,https://www.zillow.com/homedetails/1405-Falcon-Ridge-Rd-Blacksburg-VA-24060/94151982_zpid/
Lot / Land for sale,,Blacksburg,VA,24060,"$112,000","None bds, None ba ,None sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/3631-Mount-Tabor-Rd-Blacksburg-VA-24060/220273905_zpid/
House for sale,,Blacksburg,VA,24060,"$629,950","4 bds, 3.0 ba ,3772 sqft",KELLER WILLIAMS REALTY ROANOKE,https://www.zillow.com/homedetails/4531-Rhea-Ridge-Dr-Blacksburg-VA-24060/94143675_zpid/
House for sale,,Blacksburg,VA,24060,"$2,300,000","7 bds, 9.0 ba ,12776 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/1161-S-Jefferson-Forest-Ln-Blacksburg-VA-24060/126864107_zpid/
For sale by owner,,Blacksburg,VA,24060,"$694,500","5 bds, 4.0 ba ,4400 sqft",,https://www.zillow.com/homedetails/3010-Stradford-Ln-Blacksburg-VA-24060/79172786_zpid/
House for sale,,Blacksburg,VA,24060,"$579,900","4 bds, 4.0 ba ,2862 sqft",Coldwell Banker Townside Realtors,https://www.zillow.com/homedetails/840-Coalwood-Way-Blacksburg-VA-24060/220274454_zpid/
Condo for sale,,Blacksburg,VA,24060,"$475,000","1 bds, 2.0 ba ,1458 sqft",Pointe West Management,https://www.zillow.com/homedetails/401-S-Main-St-SUITE-301-Blacksburg-VA-24060/220289247_zpid/
House for sale,,Blacksburg,VA,24060,"$710,000","5 bds, 4.0 ba ,5132 sqft",RE/MAX 8 - Blacksburg,https://www.zillow.com/homedetails/3841-Buck-Mountain-Rdg-Blacksburg-VA-24060/79171705_zpid/
